cyclone_id,timestamp,lat,lon,vmax,pres
FANI_2019,20230510_0000,9.87,88.34,38.7,985.2
FANI_2019,20230510_0600,10.26,88.2,47.2,977.1
FANI_2019,20230510_1200,10.7,88.07,53.3,971.3
FANI_2019,20230510_1800,11.13,87.95,61.8,966.5
FANI_2019,20230511_0000,11.58,87.82,67.8,963.1
FANI_2019,20230511_0600,12.0,87.65,76.4,957.2
FANI_2019,20230511_1200,12.45,87.49,84.1,955.8
FANI_2019,20230511_1800,12.85,87.36,91.3,946.8
FANI_2019,20230512_0000,13.28,87.2,96.0,941.2
FANI_2019,20230512_0600,13.69,86.96,102.1,937.2
FANI_2019,20230512_1200,14.16,86.85,109.4,933.6
FANI_2019,20230512_1800,14.58,86.78,116.7,927.3
FANI_2019,20230513_0000,15.01,86.69,122.6,923.5
FANI_2019,20230513_0600,15.49,86.55,130.1,916.5
FANI_2019,20230513_1200,16.01,86.44,137.1,913.5
FANI_2019,20230513_1800,16.41,86.26,129.3,918.7
FANI_2019,20230514_0000,16.86,86.13,124.9,919.8
FANI_2019,20230514_0600,17.34,86.02,120.2,925.5
FANI_2019,20230514_1200,17.74,85.82,112.5,928.9
FANI_2019,20230514_1800,18.21,85.68,107.7,934.4
FANI_2019,20230515_0000,18.58,85.54,100.9,940.6
FANI_2019,20230515_0600,19.02,85.37,93.3,944.6
FANI_2019,20230515_1200,19.49,85.21,87.6,949.6
FANI_2019,20230515_1800,19.93,85.08,80.6,955.2
FANI_2019,20230516_0000,20.45,84.9,76.0,955.9
FANI_2019,20230516_0600,20.87,84.8,69.4,964.3
FANI_2019,20230516_1200,21.28,84.64,62.0,967.6
FANI_2019,20230516_1800,21.7,84.47,56.2,969.8
AMPHAN_2020,20230510_0000,11.34,86.51,40.1,981.8
AMPHAN_2020,20230510_0600,11.85,86.56,47.8,976.9
AMPHAN_2020,20230510_1200,12.35,86.61,52.2,971.8
AMPHAN_2020,20230510_1800,12.87,86.63,58.8,968.8
AMPHAN_2020,20230511_0000,13.3,86.71,65.6,966.3
AMPHAN_2020,20230511_0600,13.87,86.76,73.8,957.5
AMPHAN_2020,20230511_1200,14.37,86.79,81.6,953.4
AMPHAN_2020,20230511_1800,14.92,86.91,89.3,948.1
AMPHAN_2020,20230512_0000,15.44,86.93,94.7,942.5
AMPHAN_2020,20230512_0600,15.94,86.99,102.5,938.8
AMPHAN_2020,20230512_1200,16.46,87.02,108.5,934.5
AMPHAN_2020,20230512_1800,16.9,87.11,114.3,929.7
AMPHAN_2020,20230513_0000,17.38,87.14,121.2,927.9
AMPHAN_2020,20230513_0600,17.94,87.13,126.7,922.0
AMPHAN_2020,20230513_1200,18.45,87.15,121.2,924.7
AMPHAN_2020,20230513_1800,18.91,87.18,114.3,931.4
AMPHAN_2020,20230514_0000,19.4,87.25,108.4,934.6
AMPHAN_2020,20230514_0600,19.83,87.24,101.4,939.4
AMPHAN_2020,20230514_1200,20.29,87.32,95.3,942.4
AMPHAN_2020,20230514_1800,20.77,87.41,88.1,949.0
AMPHAN_2020,20230515_0000,21.26,87.46,82.9,951.2
AMPHAN_2020,20230515_0600,21.75,87.52,77.5,956.0
AMPHAN_2020,20230515_1200,22.27,87.51,71.9,961.0
AMPHAN_2020,20230515_1800,22.77,87.56,65.8,963.7
AMPHAN_2020,20230516_0000,23.33,87.61,61.6,969.0
AMPHAN_2020,20230516_0600,23.78,87.6,55.1,970.4
BIPARJOY_2023,20230510_0000,12.4,66.11,43.3,981.1
BIPARJOY_2023,20230510_0600,12.7,66.25,48.0,978.0
BIPARJOY_2023,20230510_1200,13.04,66.33,54.3,973.3
BIPARJOY_2023,20230510_1800,13.4,66.45,58.4,972.6
BIPARJOY_2023,20230511_0000,13.77,66.5,67.0,960.7
BIPARJOY_2023,20230511_0600,14.19,66.62,75.6,956.0
BIPARJOY_2023,20230511_1200,14.55,66.72,84.4,950.9
BIPARJOY_2023,20230511_1800,14.87,66.79,92.2,945.1
BIPARJOY_2023,20230512_0000,15.17,66.84,98.6,943.6
BIPARJOY_2023,20230512_0600,15.48,66.94,106.2,935.7
BIPARJOY_2023,20230512_1200,15.83,67.01,110.6,930.8
BIPARJOY_2023,20230512_1800,16.16,67.17,116.6,929.2
BIPARJOY_2023,20230513_0000,16.53,67.29,123.9,918.8
BIPARJOY_2023,20230513_0600,16.91,67.35,127.9,918.0
BIPARJOY_2023,20230513_1200,17.26,67.43,136.1,916.8
BIPARJOY_2023,20230513_1800,17.61,67.48,144.9,906.2
BIPARJOY_2023,20230514_0000,18.01,67.57,145.0,909.1
BIPARJOY_2023,20230514_0600,18.29,67.75,138.1,912.2
BIPARJOY_2023,20230514_1200,18.66,67.9,130.9,915.9
BIPARJOY_2023,20230514_1800,19.04,68.01,124.5,922.5
BIPARJOY_2023,20230515_0000,19.38,68.07,116.8,928.1
BIPARJOY_2023,20230515_0600,19.8,68.14,112.0,932.8
BIPARJOY_2023,20230515_1200,20.16,68.23,105.4,936.5
